Year,GDP,GDP (%change),Inflation,Inflation(%change),Ft,Ft (%change)
2565,17370.2,7.4,106.47,6.08,24.77,261.68
2564,16166.6,3.2,100.37,1.23,-15.32,-32.07
2563,15661.1,-7.3,99.15,-0.85,-11.6,0.00
2562,16889.2,3.2,100,0.7,-11.6,27.04
2561,16373.3,5.7,99.3,1.07,-15.9,35.81
2560,15488.7,4.3,98.25,0.67,-24.77,25.59
2559,14590.3,3.7,97.6,0.18,-33.29,-167.10
2558,13743.5,3.7,97.42,-0.9,49.61,-28.10
2557,13230.3,1.1,98.3,1.9,69,32.59
2556,12915.2,2.9,96.47,2.18,52.04,73.47
2555,12357.3,7.5,94.41,3.01,30,-25.82
