Year,0-15,16-25,26-35,36-100,101-150,151-400,401
2554,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
2555,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
2556,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
2557,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
2558,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2559,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2560,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2561,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2562,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2563,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2564,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2565,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
2566,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
