year,Hydro,Fuel_Oil,Lignite,Natural_Gas,Diesel,Geothermal,Renewable,Imported
2539,7215,20983.73,17507.17,24722.17,4572.36,1.19,0.17,805.61
2540,7082,19266.11,18924.58,28613.71,2440.68,1.28,0.22,745.63
2541,5088.82,17534.1,16475.24,32702.16,988.97,1.3,0.24,1622.71
2542,3409.67,15429.25,15418.91,32851.18,457.33,1.49,0.24,2255.66
2543,5891.44,9611.42,15852.17,35642.22,107.95,1.65,0.33,2966.25
2544,6174.35,2419.96,17722.36,34786.99,248.06,1.5,0.46,2881.71
2545,7366.94,1969.39,16651.86,35251.6,150.98,1.44,0.31,2812.18
2546,7207.76,2434.28,16856.16,31694.4,75.3,1.61,0.24,2473.41
2547,5896.29,5467.67,17993.55,30901.1,232.95,1.26,0.87,3377.85
2548,5671.18,7640,18334.5,33064.85,176.85,1.45,0.81,4371.89
2549,7950.05,7808.44,18027.68,33962.67,76.92,1.72,0.85,5151.85
2550,7961.36,2966.57,18497.68,36501.69,28.24,1.84,0.81,4488.36
2551,6950.69,990.08,18679.3,37260.98,23.28,1.3,0.7,2783.57
2552,6965.74,448.23,17922.09,41761.02,45.07,1.41,1.86,2451.41
2553,5346.75,558.31,17987.63,50802.5,41.59,1.64,5.65,7253.78
2554,7934.92,1294.89,18835.63,45863.42,35.98,1.2,6.84,10774.41
2555,8431.22,1299.96,18802.01,52568.77,62.76,0.87,2.87,10527.43
2556,5412.08,1238.45,19097.98,50202.11,179.14,1.25,4.37,12571.79
2557,5163.57,1580.52,19370.82,50825.92,62.6,1.43,4.84,12259.71
2558,3760.73,771.51,16932.3,51494.54,125.7,1.35,3.98,14414.49
2559,3543.08,296.49,19059.43,47963.63,173.69,1.39,5.01,19825.36
2560,4687.19,105.19,18897.78,39939.96,197.78,1.55,11.05,24427.42
2561,7597.01,35.8,17698.44,38872.32,111.77,1.49,9.31,26669.44
2562,6309.96,986.63,17894.88,39825.38,137.22,1.25,62.83,25546.66
2563,4539.85,624.08,18238.54,42906.68,97.48,1.1,81.9,29550.57
