Year,Type of energy,Fuel Type,GWH
2544,Heat Energy,Gas,71229
2545,Heat Energy,Gas,78910
2546,Heat Energy,Gas,85688
2547,Heat Energy,Gas,90289
2548,Heat Energy,Gas,94468
2549,Heat Energy,Gas,94438
2550,Heat Energy,Gas,98243
2551,Heat Energy,Gas,104458
2552,Heat Energy,Gas,106343
2553,Heat Energy,Gas,118438
2554,Heat Energy,Gas,108261
2555,Heat Energy,Gas,119368
2556,Heat Energy,Gas,119218
2557,Heat Energy,Gas,120314
2558,Heat Energy,Gas,128525
2559,Heat Energy,Gas,126150
2560,Heat Energy,Gas,121044
2561,Heat Energy,Gas,116265
2562,Heat Energy,Gas,121841
2563,Heat Energy,Gas,113859
2564,Heat Energy,Gas,113113
2565,Heat Energy,Gas,114637
2544,Heat Energy,Lignite,17722
2545,Heat Energy,Lignite,16652
2546,Heat Energy,Lignite,16856
2547,Heat Energy,Lignite,17994
2548,Heat Energy,Lignite,18335
2549,Heat Energy,Lignite,18028
2550,Heat Energy,Lignite,18498
2551,Heat Energy,Lignite,18679
2552,Heat Energy,Lignite,17922
2553,Heat Energy,Lignite,17988
2554,Heat Energy,Lignite,18836
2555,Heat Energy,Lignite,18802
2556,Heat Energy,Lignite,19098
2557,Heat Energy,Lignite,19371
2558,Heat Energy,Lignite,16932
2559,Heat Energy,Lignite,19059
2560,Heat Energy,Lignite,18898
2561,Heat Energy,Lignite,17698
2562,Heat Energy,Lignite,17895
2563,Heat Energy,Lignite,18239
2564,Heat Energy,Lignite,19527
2565,Heat Energy,Lignite,18748
2544,Heat Energy,Coal,2574
2545,Heat Energy,Coal,2640
2546,Heat Energy,Coal,2445
2547,Heat Energy,Coal,2411
2548,Heat Energy,Coal,2280
2549,Heat Energy,Coal,6441
2550,Heat Energy,Coal,12383
2551,Heat Energy,Coal,12158
2552,Heat Energy,Coal,11875
2553,Heat Energy,Coal,11776
2554,Heat Energy,Coal,12876
2555,Heat Energy,Coal,15781
2556,Heat Energy,Coal,16254
2557,Heat Energy,Coal,18201
2558,Heat Energy,Coal,17650
2559,Heat Energy,Coal,18048
2560,Heat Energy,Coal,16835
2561,Heat Energy,Coal,18098
2562,Heat Energy,Coal,17930
2563,Heat Energy,Coal,18585
2564,Heat Energy,Coal,16538
2565,Heat Energy,Coal,16774
2544,Heat Energy,Fuel Oil,2457
2545,Heat Energy,Fuel Oil,2007
2546,Heat Energy,Fuel Oil,2472
2547,Heat Energy,Fuel Oil,5630
2548,Heat Energy,Fuel Oil,7731
2549,Heat Energy,Fuel Oil,7837
2550,Heat Energy,Fuel Oil,2989
2551,Heat Energy,Fuel Oil,1017
2552,Heat Energy,Fuel Oil,479
2553,Heat Energy,Fuel Oil,577
2554,Heat Energy,Fuel Oil,1316
2555,Heat Energy,Fuel Oil,1330
2556,Heat Energy,Fuel Oil,1267
2557,Heat Energy,Fuel Oil,1606
2558,Heat Energy,Fuel Oil,797
2559,Heat Energy,Fuel Oil,318
2560,Heat Energy,Fuel Oil,133
2561,Heat Energy,Fuel Oil,65
2562,Heat Energy,Fuel Oil,988
2563,Heat Energy,Fuel Oil,624
2564,Heat Energy,Fuel Oil,422
2565,Heat Energy,Fuel Oil,105
2544,Diesel,Diesel,248
2545,Diesel,Diesel,151
2546,Diesel,Diesel,75
2547,Diesel,Diesel,233
2548,Diesel,Diesel,177
2549,Diesel,Diesel,77
2550,Diesel,Diesel,28
2551,Diesel,Diesel,23
2552,Diesel,Diesel,45
2553,Diesel,Diesel,42
2554,Diesel,Diesel,36
2555,Diesel,Diesel,63
2556,Diesel,Diesel,179
2557,Diesel,Diesel,63
2558,Diesel,Diesel,126
2559,Diesel,Diesel,174
2560,Diesel,Diesel,198
2561,Diesel,Diesel,112
2562,Diesel,Diesel,137
2563,Diesel,Diesel,97
2564,Diesel,Diesel,294
2565,Diesel,Diesel,1626
2544,Imported,Imported,2882
2545,Imported,Imported,2812
2546,Imported,Imported,2473
2547,Imported,Imported,3378
2548,Imported,Imported,4372
2549,Imported,Imported,5152
2550,Imported,Imported,4488
2551,Imported,Imported,2784
2552,Imported,Imported,2451
2553,Imported,Imported,7254
2554,Imported,Imported,10774
2555,Imported,Imported,10527
2556,Imported,Imported,12572
2557,Imported,Imported,12260
2558,Imported,Imported,14414
2559,Imported,Imported,19825
2560,Imported,Imported,24427
2561,Imported,Imported,26669
2562,Imported,Imported,25547
2563,Imported,Imported,29551
2564,Imported,Imported,33356
2565,Imported,Imported,35472
2544,Renewable Energy,Renewable Energy,585
2545,Renewable Energy,Renewable Energy,715
2546,Renewable Energy,Renewable Energy,1194
2547,Renewable Energy,Renewable Energy,1680
2548,Renewable Energy,Renewable Energy,1765
2549,Renewable Energy,Renewable Energy,1996
2550,Renewable Energy,Renewable Energy,2435
2551,Renewable Energy,Renewable Energy,2151
2552,Renewable Energy,Renewable Energy,2277
2553,Renewable Energy,Renewable Energy,3407
2554,Renewable Energy,Renewable Energy,4056
2555,Renewable Energy,Renewable Energy,5181
2556,Renewable Energy,Renewable Energy,7206
2557,Renewable Energy,Renewable Energy,9046
2558,Renewable Energy,Renewable Energy,10041
2559,Renewable Energy,Renewable Energy,12537
2560,Renewable Energy,Renewable Energy,14944
2561,Renewable Energy,Renewable Energy,17923
2562,Renewable Energy,Renewable Energy,21402
2563,Renewable Energy,Renewable Energy,20529
2564,Renewable Energy,Renewable Energy,21927
2565,Renewable Energy,Renewable Energy,21876
