Year,Hydro Electricity,Fuel Oil,Coal & Lignite,Natural Gas,Diesel,Imported,Renewable Energy,Total
2556,5412,1238,35352,119218,179,12572,7234,181205
2557,5164,1606,37572,120314,63,12260,9046,186024
2558,3761,797,34582,128525,126,14414,10041,192246
2559,3543,318,37107,126150,174,19825,12537,199654
2560,4687,133,35732,121044,198,24427,14944,201166
2561,7597,65,35796,116265,112,26669,17923,204428
2562,6310,988,35825,121841,137,25547,21402,212050
2563,4540,624,36823,113859,97,29551,20529,206023
2564,4540,422,36065,113113,294,33356,21927,209717
2565,6599,105,35523,114637,1626,35472,21876,215838
